,application_number,orig_funding_request,cmtd_funding_request,consulting_firms_name,consulting_firms_email,applicant_type,applicant_city,applicant_state,cmtd_discount,service_type,function,funding_gap
3426,170082440,67838,57608,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Basic Maintenance Of Internal Connections,Switches,10230
3427,170050808,6907,6907,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3428,170067857,3682,3682,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,60,Basic Maintenance Of Internal Connections,Switches,0
3429,170073562,3769,3769,Btu Consultants,carol@btu-consultants.com,School District,URBANA,IL,30,Internal Connections,Cabling,0
3430,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Basic Maintenance Of Internal Connections,Switches,107801
3431,170050808,6174,6128,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wap,46
3432,170061084,44522,0,E-Rate Funding Solutions Llc,esf1@att.net,School,CHICAGO,IL,85,Internal Connections,Switches,44522
3433,170050808,240,240,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
3434,170050808,6907,6907,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
3435,170050808,1410,1410,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Firewall Service And Components,0
3436,170050808,364,364,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3437,170047593,8734,8734,"E2e Exchange, Llc",sdp@erateexchange.com,School District,SKOKIE,IL,50,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3438,170076581,4656,4656,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Basic Maintenance Of Internal Connections,Switches,0
3439,170050808,4279,4279,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3440,170059846,39201,5417,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,HOMER GLEN,IL,40,Internal Connections,Firewall Service And Components,33784
3441,170050808,9799,9799,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Caching,0
3442,170079514,34632,34632,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CHICAGO HEIGHTS,IL,85,Basic Maintenance Of Internal Connections,Wireless Controller,0
3443,170050808,6687,6687,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Switches,0
3444,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internet Access And/Or Telecommunications,Cellular Voice,107801
3445,170047522,10800,10800,"E2e Exchange, Llc",sdp@erateexchange.com,School,EVANSTON,IL,60,Internal Connections,Cabling,0
3446,170050808,3829,3829,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3447,170054925,58401,58401,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,Cellular Voice,0
3448,170050808,7284,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,7284
3449,170053590,1425,1425,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CICERO,IL,30,Internal Connections,Wap,0
3450,170065592,16117,16117,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Wap,0
3451,170050808,9041,9041,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wireless Controller,0
3452,170082440,21817,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Cabling,21817
3453,170063399,7381,7381,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70,Internal Connections,Wap,0
3454,170082440,210189,194069,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,"Antennas, Connectors, And Related Components",16120
3455,170082440,21817,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,"Antennas, Connectors, And Related Components",21817
3456,170050808,5031,5031,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Firewall Service And Components,0
3457,170068143,1427,1427,E-Rate Online Llc,msagnella@erateportal.com,School District,DIXON,IL,70,Internet Access And/Or Telecommunications,Lit Fiber Service,0
3458,170065592,4906,4906,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Switches,0
3459,170050808,4780,4780,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3460,170047945,16811,10998,"Zeller And Associates, Llc",gzeller@zellerandassociates.com,School District,CHICAGO HEIGHTS,IL,85,Internal Connections,Firewall Service And Components,5813
3461,170063399,35236,35236,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70,Internal Connections,Wap,0
3462,170065592,16117,16117,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Switches,0
3463,170076866,6516,6516,Clientfirst Technology Consulting,mstruwing@clientfirstcg.com,School District,HARVARD,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3464,170050808,2360,1160,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Wap,1200
3465,170073814,12011,12011,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,NORTHBROOK,IL,40,Internal Connections,Cabling,0
3466,170064919,2100,2100,Btu Consultants,carol@btu-consultants.com,School,BELLEVILLE,IL,40,Internal Connections,Firewall Service And Components,0
3467,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Switches,805
3468,170071670,669,669,Federal Funds Assistant,fedfundsassistant@yahoo.com,School District,PAW PAW,IL,10,Internal Connections,"Antennas, Connectors, And Related Components",0
3469,170082440,10795,10795,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Cabling,0
3470,170050808,4915,4915,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wireless Controller,0
3471,170050808,786,786,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Switches,0
3472,170082051,28845,0,Ajd Consulting Services,4jdare@gmail.com,School District,WEST FRANKFORT,IL,85,Internal Connections,Switches,28845
3473,170054925,14264,14264,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,30,Internal Connections,Wap,0
3474,170054925,125400,17599,Funds For Learning,jharrington@fundsforlearning.com,School District,CHICAGO,IL,85,Internal Connections,Switches,107801
3475,170050808,1182,1182,Resource Renewal Project,baltman@colemangroupconsulitng.com,School,Springfield,IL,85,Internal Connections,Cabling,0
3476,170050808,3321,3321,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,0
3477,170076535,1414,1204,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ROMEOVILLE,IL,80,Internal Connections,Ups/Battery Backup,210
3478,170055826,17654,17654,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,Lit Fiber Service,0
3479,170065592,16117,16117,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Wap,0
3480,170050808,3515,3515,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wireless Controller,0
3481,170050808,14781,14705,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wap,76
3482,170069943,15762,15465,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,BELVIDERE,IL,20,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",297
3483,170050808,21240,21240,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40,Internal Connections,Ups/Battery Backup,0
3484,170050808,4915,4915,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Firewall Service And Components,0
3485,170072247,2462,2462,Getfunded,john.egan@getfunded.net,School District,CHICAGO,IL,30,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3486,170082440,10795,10795,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Switches,0
3487,170069211,123600,3600,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,60,Internet Access And/Or Telecommunications,Self-Provisioning,120000
3488,170066161,4367,4367,Btu Consultants,carol@btu-consultants.com,School District,SPRINGFIELD,IL,30,Internet Access And/Or Telecommunications,Internet Access And Transport Bundled,0
3489,170050808,9224,9224,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Firewall Service And Components,0
3490,170050808,4558,4558,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Racks,0
3491,170063399,7381,7381,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70,Internal Connections,Wireless Controller,0
3492,170050808,12896,5845,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,50,Basic Maintenance Of Internal Connections,Router,7051
3493,170050808,2393,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Switches,2393
3494,170063399,48011,48011,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,OTTAWA,IL,70,Basic Maintenance Of Internal Connections,Wireless Controller,0
3495,170071670,140,140,Federal Funds Assistant,fedfundsassistant@yahoo.com,School District,PAW PAW,IL,10,Internal Connections,"Antennas, Connectors, And Related Components",0
3496,170050808,3254,3254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3497,170050808,9041,9041,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,"Antennas, Connectors, And Related Components",0
3498,170050808,1748,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Router,1748
3499,170065238,1166,2332,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,ADDISON,IL,80,Internal Connections,Ups/Battery Backup,-1166
3500,170050808,4440,0,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Wap,4440
3501,170050808,1536,1536,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,0
3502,170065592,16117,16117,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Wap,0
3503,170050808,7491,2981,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Router,4510
3504,170050808,5031,5031,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Caching,0
3505,170065592,20143,19338,Btu Consultants,carol@btu-consultants.com,School District,JOHNSBURG,IL,50,Internal Connections,Switches,805
3506,170082440,10448,0,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Cabling,10448
3507,170063780,9915,9295,"Infinite Connections, Inc.",jkratochvil@infiniteconnect.net,School District,ROUND LAKE,IL,85,Internet Access And/Or Telecommunications,Lit Fiber Service,620
3508,170052075,1481,1481,Educational Consortium For Telecom Savings,dbelden@eratespecialist.org,School District,RIVER FOREST,IL,40,Internet Access And/Or Telecommunications,Transport Only - No Isp Service Included,0
3509,170082440,265789,2897,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internal Connections,Cabling,262892
3510,170050808,6687,6687,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Internal Connections,Ups/Battery Backup,0
3511,170061127,48330,48330,E-Rate Online Llc,msagnella@erateportal.com,School District,LAKE VILLA,IL,50,Basic Maintenance Of Internal Connections,Wap,0
3512,170050808,21240,21240,Resource Renewal Project,baltman@colemangroupconsulitng.com,Consortium,CHICAGO,IL,40,Basic Maintenance Of Internal Connections,Wap,0
3513,170064152,5659,0,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,SKOKIE,IL,50,Internal Connections,Wap,5659
3514,170082440,67838,57608,"Scaletta Consulting, Llc",lpscaletta@gmail.com,School District,CRETE,IL,80,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",10230
3515,170064152,4392,0,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,SKOKIE,IL,50,Basic Maintenance Of Internal Connections,Wap,4392
3516,170069989,0,0,Telesolutions Consultants Llc,jerry@telesolutionsconsultants.com,School District,EAST PEORIA,IL,0,Internet Access And/Or Telecommunications,"Voice Service (Analog, Digital, Interconnected Voip, Etc)",0
3517,170050808,11327,11327,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3518,170050808,3254,3254,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Racks,0
3519,170050808,9224,9224,Resource Renewal Project,baltman@colemangroupconsulitng.com,School District,Chicago,IL,50,Basic Maintenance Of Internal Connections,Cabling,0
